time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,network_speed,ego_speed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate
2740,926840,91.88,24.23185876,119,10100,19.73150555684427,14.130294445672503,18.015493392944336,231609,-2.97758150100708,0.0,0.0005
2744,927225,91.7,24.100982099999996,119,10104,22.054841380770732,21.57295652341247,9.764748573303223,231706,-6.0847978591918945,0.0,0.0005
2747,927559,91.94,21.83811737,119,10108,21.67215276270761,23.23187435113612,13.919729232788086,231789,-5.774714469909668,0.0,0.0005
2749,927975,92.58,22.387344500000005,119,10112,23.221033677062902,20.741314295670414,34.91925811767578,231893,-3.856588363647461,0.0,0.0005
2753,928343,93.41,22.1220656,119,10116,19.886920247340772,22.635197124219175,15.752471923828125,231985,-2.73715877532959,0.0,0.0005
2756,928768,94.55,24.166786579999997,119,10120,20.702934924053498,21.5248746770593,15.171813011169434,232091,-2.141993522644043,0.0,0.0005
2760,929232,96.2,24.1417422,119,10124,18.187631396799713,18.604387357454577,18.539825439453125,232207,-1.7058768272399902,0.0,0.0005
2764,929593,95.25,24.232086440000003,119,10128,18.546581197620338,14.245583837499037,9.11925220489502,232298,-6.848239898681641,0.0,0.0005
2768,930007,95.29,23.792304509999994,119,10132,18.517808224438376,15.358492926751705,10.970569610595703,232401,-3.3580994606018066,0.0,0.0005
2770,930419,96.0,23.953579310000006,119,10136,22.03765143744228,21.105743219836747,21.872446060180664,232504,-4.225312232971191,0.0,0.0005
2773,930742,96.03,24.028325220000003,119,10140,23.024307768510784,24.824613511526184,23.564693450927734,232585,-5.348245620727539,0.0,0.0005
2777,931167,97.71,27.791548589999998,119,10144,20.117127679110204,12.783993312393735,11.120277404785156,232691,-4.240840911865234,0.0,0.0005
2779,931497,97.45,27.848810999999998,119,10148,21.274758303853876,22.55087952373998,12.50979232788086,232774,-4.445183753967285,0.0,0.0005
2782,931850,98.31,30.0426673,119,10152,21.040654579931378,20.714164958806858,13.978780746459961,232862,-6.303174018859863,0.0,0.0005
2786,932237,97.27,30.29833836,119,10156,20.652491734814404,13.805675107784785,206.60003662109375,232959,-3.079287052154541,0.0,0.0005
2790,932633,96.62,30.186137770000002,119,10160,19.940156482362365,13.365630040089151,10.339485168457031,233058,-5.573752403259277,0.0,0.0005
2791,932861,93.82,25.562000690000005,119,10164,21.60606444647497,24.831482208305953,7.573027610778809,233115,-4.697622299194336,0.0,0.0005
2794,933187,94.55,27.892875450000002,119,10168,21.976635422839827,21.803711234304068,17.925331115722656,233196,-5.087147235870361,0.0,0.0005
2798,933649,95.76,28.02726764,119,10172,16.406516860712745,18.288942298124734,11.137690544128418,233312,-5.130260467529297,0.0,0.0005
2802,934021,95.67,28.0888179,119,10176,19.380284746761646,14.754185909907363,7.303898811340332,233405,-5.994019508361816,0.0,0.0005
2804,934451,95.7,27.533095359999994,119,10180,18.28553541142937,18.786475867494502,22.414634704589844,233512,-6.692951679229736,0.0,0.0005
2808,934847,95.26,27.745697529999997,119,10184,20.036326453798758,20.68769487293292,23.28685188293457,233611,-5.617372512817383,0.0,0.0005
2811,935219,95.81,27.905054659999998,119,10188,21.910928240965465,28.56592791824495,15.038423538208008,233704,-4.488620281219482,0.0,0.0005
2814,935599,95.62,27.750206029999994,119,10192,21.891350784986173,24.828297886313308,11.611488342285156,233799,-0.9825860857963562,0.0,0.0005
2816,935926,95.32,27.52741455,119,10196,23.57366235088094,23.64596744753386,11.54707145690918,233881,-4.800745964050293,0.0,0.0005
2820,936356,95.16,27.849947849999992,119,10200,20.556580376326597,13.896746602592103,10.688650131225586,233988,-3.926154136657715,0.0,0.0005
2823,936645,94.2,25.490314310000002,119,10204,21.291844912076957,20.993299885391153,9.684722900390625,234061,-6.865281105041504,0.0,0.0005
2826,937012,94.53,25.34287621,119,10208,22.057059485787835,18.895368718300514,14.69550895690918,234152,-4.010684490203857,0.0,0.0005
2828,937437,94.62,24.650482590000003,119,10212,18.90502755572916,12.359405343982253,16.620407104492188,234259,-4.216389179229736,0.0,0.0005
2832,937808,94.65,24.252789109999995,119,10216,19.447313781131125,20.192177703254856,12.374046325683594,234351,-5.420989990234375,0.0,0.0005
2836,938223,94.55,24.65068106,119,10220,19.154112277598756,19.523448742845584,8.778487205505371,234455,-4.178230285644531,0.0,0.0005
2840,938698,94.66,24.82349419,119,10224,21.14922543316855,16.956463204431177,8.292016983032227,234574,-5.244462013244629,0.0,0.0005
2843,939082,94.89,24.87282182,119,10228,18.260084469837878,18.90624842580283,9.050211906433105,234670,-3.7563209533691406,0.0,0.0005
2845,939405,93.98,21.92379265,119,10232,18.44883214249732,18.195837247464976,7.891512870788574,234751,-4.8212738037109375,0.0,0.0005
2849,939763,93.44,21.62055349,119,10236,18.983036412274647,17.787170678373304,23.475914001464844,234840,-2.9121153354644775,0.0,0.0005
2852,940089,93.47,21.60275518,119,10240,20.304191970067308,20.71003625901145,13.419818878173828,234922,-5.023923873901367,0.0,0.0005
